tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047022900",Clinton Hill,"3226","1964",67.000000000000000,"783",385.000000000000000,"28913","656",,"3675",,,,,"83043","2114",,20.447708400000000,-0.071757847000000,3.206710840000000,1.872168229000000,2.222560976000000,"0",3.555863600000000,4.105200500000000,3.345746600000000,2.550437700000000,"1","0","1","1"
"36047023000",Borough Park,"4163","1894",3016.000000000000000,"978",165.000000000000000,"26176","734",,"4251",,,,,"43459","1314",,0.253996251000000,-0.705249673000000,0.982338558000000,0.660261308000000,0.790190736000000,"0",-0.717457200000000,0.090753400000000,-0.705811240000000,-1.457470880000000,"0","0","1","1"
"36047023100",Clinton Hill,"2787","1893",193.000000000000000,"766",562.000000000000000,"41667","649",,"3696",,,,,"91047","1615",,5.669314817000000,-0.178246117000000,1.169595196000000,1.185110519000000,1.488443760000000,"0",1.648322200000000,2.486151800000000,1.720429000000000,0.958871900000000,"1","0","1","1"
"36047023200",Borough Park,"6059","2846",5101.000000000000000,"1106",371.000000000000000,"27702","715",,"5561",,,,,"38818","1531",,0.083998748000000,-0.489609730000000,-0.165949230000000,0.401270666000000,1.141258741000000,"0",-1.301957900000000,-0.433822830000000,-1.212246200000000,-1.958961400000000,"0","0","1","1"
"36047023300",Bedford,"4875","2637",106.000000000000000,"979",326.000000000000000,"27044","460",,"5884",,,,,"57721","1308",,15.367138900000000,-0.118777641000000,3.226458463000000,1.134336637000000,1.843478261000000,,2.948826600000000,3.593192200000000,2.816964200000000,2.035212900000000,"1","1","1","1"
"36047023400",Borough Park,"4733","2265",4621.000000000000000,"1001",277.000000000000000,"21853","760",,"4563",,,,,"32237","1584",,-0.016615587000000,-0.456506675000000,0.130871371000000,0.475175033000000,1.084210526000000,"0",-0.882094440000000,-0.246606680000000,-0.986289600000000,-1.750690920000000,"0","0","0","0"
"36047023500",Clinton Hill,"1930","1129",122.000000000000000,"560",68.000000000000000,"14833","637",,"4694",,,,,"61607","1806",,9.798088945000000,-0.396552970000000,5.469773679000000,3.153374233000000,1.835164835000000,,3.695031100000000,3.993722200000000,3.220051200000000,2.392969100000000,"1","0","1","1"
"36047023600",Borough Park,"5222","2697",5023.000000000000000,"1142",305.000000000000000,"23256","748",,"5549",,,,,"26855","1552",,-0.031388753000000,-0.312232778000000,-0.018818337000000,0.154755762000000,1.074866310000000,"0",-1.112266210000000,-0.382859300000000,-1.124898000000000,-1.898399990000000,"0","0","0","0"
"36047023800",Borough Park,"4694","2484",4251.000000000000000,"951",310.000000000000000,"27531","746",,"3634",,,,,"33780","1387",,0.078079204000000,-0.422113964000000,1.229206242000000,0.226980495000000,0.859249330000000,"0",-0.296441510000000,0.100071500000000,-0.608233230000000,-1.386353670000000,"0","0","0","0"
"36047024000",Borough Park,"4772","2526",4275.000000000000000,"1034",534.000000000000000,"29385","739",,"4823",,,,,"39034","1431",,0.013958796000000,-0.530963617000000,-0.036514330000000,0.328364812000000,0.936400541000000,"0",-1.391203130000000,-0.511596380000000,-1.277903970000000,-2.047401150000000,"0","0","0","0"
